Removed Pin From Net: NetName=NewNet236 Pin= U16-1
Removed Pin From Net: NetName=NewNet237 Pin= U16-2
Removed Pin From Net: NetName=NewNet9 Pin= U16-3
Removed Pin From Net: NetName=NewNet38 Pin= U16-4
Removed Pin From Net: NetName=NewNet9 Pin= U16-5
Removed Pin From Net: NetName=NewNet9 Pin= U16-6
Change Component Footprint: Designator=R111 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R112 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R113 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R114 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R115 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R116 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R117 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R118 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R119 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R120 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R121 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R123 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R124 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R125 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R126 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R127 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R128 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R129 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R130 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R131 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R132 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R133 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R134 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R135 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R136 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R137 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R138 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R139 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R140 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R141 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R142 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R143 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R144 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R145 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R146 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R147 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R148 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R149 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R150 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R151 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R152 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R153 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R154 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R155 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R156 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R157 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R158 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R159 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R160 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R161 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R162 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R163 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R164 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R165 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R166 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R167 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R169 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R170 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R171 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R172 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R173 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R174 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R175 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R176 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R177 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R178 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R179 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R180 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R181 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R182 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R183 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R184 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R201 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R202 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R204 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R207 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R208 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R209 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R211 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R212 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R213 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R214 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R215 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R216 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R217 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R218 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R219 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R220 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R221 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R222 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R223 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R224 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=R225 Old Footprint=1 New Footprint=R0805
Change Component Footprint: Designator=C1 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C4 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C5 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C6 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C7 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C10 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C12 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C13 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C14 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C16 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C18 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C19 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C20 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C21 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C22 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C23 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C24 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C26 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C27 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C28 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C29 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C30 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C31 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C32 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C33 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C34 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C40 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C41 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C42 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C43 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C44 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C45 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C47 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C48 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C49 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C50 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C51 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C52 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C54 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C55 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C56 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C57 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C58 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C59 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C60 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C61 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C62 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C63 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C64 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C65 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C66 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C67 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C68 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C69 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C70 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C71 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C72 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C73 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C74 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C75 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C76 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C77 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C78 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C79 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C80 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C81 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C82 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C84 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C88 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C90 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C91 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C98 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C99 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C102 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C103 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C105 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C106 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C107 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C108 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C115 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C116 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C117 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C118 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C122 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C130 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C131 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C132 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C140 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C141 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C142 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C143 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C144 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C153 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C177 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C200 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C201 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C202 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C203 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C210 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C211 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C212 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C213 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C214 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C215 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C216 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C220 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C221 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C222 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C254 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C255 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C258 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C259 Old Footprint=2 New Footprint=C0805
Change Component Footprint: Designator=C15 Old Footprint=3 New Footprint=C1206
Change Component Footprint: Designator=L2 Old Footprint=3 New Footprint=C1206
Change Component Footprint: Designator=L3 Old Footprint=3 New Footprint=R1206
Change Component Footprint: Designator=R122 Old Footprint=3 New Footprint=R1206
Change Component Footprint: Designator=R168 Old Footprint=3 New Footprint=R1206
Change Component Footprint: Designator=R203 Old Footprint=3 New Footprint=R1206
Change Component Footprint: Designator=R205 Old Footprint=3 New Footprint=R1206
Change Component Footprint: Designator=R206 Old Footprint=3 New Footprint=R1206
Change Component Footprint: Designator=R210 Old Footprint=3 New Footprint=R1206
Change Component Footprint: Designator=C2 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C3 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C8 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C9 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C11 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C17 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C25 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C35 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C36 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C37 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C38 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C39 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C46 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C87 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C92 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C93 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C94 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C95 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C96 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C97 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C100 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C101 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C104 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C109 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C110 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C111 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C112 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C113 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C114 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C252 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C253 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C256 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=C257 Old Footprint=4 New Footprint=C1206
Change Component Footprint: Designator=D2 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D3 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D4 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D5 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D6 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D7 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D8 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D9 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D10 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D11 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D12 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D13 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D14 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D15 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D16 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D17 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D18 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D19 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D20 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D21 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D22 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D23 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D24 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D25 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D26 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D27 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D28 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D29 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D30 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D31 Old Footprint=5 New Footprint=SOD123
Change Component Footprint: Designator=D32 Old Footprint=5 New Footprint=SOD123
